Year,Months,Python,Java,JavaScript,C++,C#,PHP,R,Swift,Go,TypeScript
2018,January,25,30,22,15,18,10,7,6,5,3
2018,February,26,29,23,14,18,10,8,6,5,4
2018,March,28,28,24,13,19,10,8,7,6,4
2018,April,29,27,25,14,18,9,9,7,6,5
2018,May,31,27,26,14,18,9,10,8,6,5
2018,June,32,26,27,13,19,9,10,8,7,6
2018,July,33,26,28,13,18,9,11,8,7,6
2018,August,34,25,29,12,18,8,12,9,7,6
2018,September,35,24,30,13,17,8,12,9,8,7
2018,October,36,24,31,12,17,8,13,10,8,7
2018,November,37,23,32,12,17,8,13,10,8,8
2018,December,38,23,33,12,16,8,14,11,9,8
2019,January,40,22,34,12,16,7,15,11,9,9
2019,February,41,22,35,11,15,7,15,11,9,9
2019,March,42,21,36,11,15,7,16,12,10,10
2019,April,43,21,37,11,15,7,17,12,10,10
2019,May,45,20,38,11,14,7,18,13,11,11
2019,June,46,20,39,11,14,7,18,13,11,11
2019,July,47,19,40,10,14,6,19,14,12,12
2019,August,48,19,41,10,14,6,19,14,12,12
2019,September,50,18,42,10,13,6,20,15,13,13
2019,October,51,18,43,10,13,6,21,15,13,13
2019,November,52,17,44,10,13,6,21,16,14,14
2019,December,53,17,45,10,12,6,22,16,14,14
2020,January,55,16,46,10,12,5,23,17,15,15
